iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__bootstrap,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,818,0.7569097995758056,0.06548098349091312,0.07459144592285157,0.011707890890550535,True,gini,,log2,1,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.5000102834776317,0.543543715109466,0.5392082774375788,0.46130366181046367,0.5382991737430114,0.5164730223156303,0.031751457379233704,133,0.9404534602736863,0.9530584299266375,0.9523838577478496,0.9377625645257841,0.9390185644820204,0.9445353753911956,0.006741058293318755
0,818,1.4539474964141845,0.0427497515178539,0.18829784393310547,0.05486704399524306,True,gini,,log2,1,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4888836405617351,0.5377030379352568,0.5248514727413196,0.46007980627879275,0.5391893775261429,0.5101414670086495,0.030912362013629142,139,0.9417991115785562,0.957836705273962,0.9476634292783258,0.9362342277183173,0.9283102546649881,0.9423687457028299,0.010028852493258925
0,818,0.7496371269226074,0.06893024094574948,0.0751828670501709,0.005414925547331117,True,gini,,log2,3,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4726831129840622,0.5137291030595912,0.487844773783918,0.4225513169467256,0.4975312636160836,0.47886791407807616,0.03115772135567193,218,0.7206164001084185,0.729805858218735,0.7217666518622766,0.7168657978240829,0.7359682407787937,0.7250045897584615,0.006917141127642982
0,818,1.4021318912506104,0.08850299121414935,0.16063470840454103,0.005483186941293518,True,gini,,log2,3,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.5022745606928272,0.5161741649765993,0.5268408601197448,0.43496941374959003,0.5232337347511921,0.5006985468579906,0.0339221247889929,160,0.7229318092411068,0.7294796802152729,0.730788825814474,0.7194767693070467,0.7380761649751023,0.7281506499106005,0.0064763360877032414
0,818,0.7168063640594482,0.15694438133998878,0.09155960083007812,0.008830787955229026,True,gini,,log2,3,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.5091864503873678,0.5059422154414153,0.519110373823677,0.41750451881812395,0.5175617021175837,0.4938610521176335,0.03849777025734449,181,0.6998506655968152,0.7138101597198783,0.7030585727062768,0.6928271714494761,0.7056733339695033,0.7030439806883899,0.006890642565688338
0,818,1.361109161376953,0.08517480752933952,0.1266420841217041,0.010040388694639451,True,gini,,log2,3,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4984273031727368,0.4930449731054283,0.5228399810917997,0.4156746890985434,0.5452098670745753,0.4950393627086167,0.04382729979940184,178,0.6990349785810405,0.7070390234013293,0.7030961316861275,0.7009885661540246,0.7114854083095077,0.704328821626406,0.004455637595499625
0,818,0.7950362682342529,0.0635183857265913,0.07421770095825195,0.007914188080910656,True,gini,30,sqrt,1,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.45428464165558285,0.4954826432065977,0.5032760729299414,0.4666227586834786,0.48603530253570265,0.4811402838022606,0.018174937098509893,216,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,1.3744969844818116,0.16112822889571865,0.14393792152404786,0.026642190380969252,True,gini,30,sqrt,1,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4323789580212814,0.5057009501596232,0.5188224827007475,0.4689606869533884,0.4925426791732423,0.4836811514016565,0.030485795041200876,211,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,0.6434804439544678,0.06365437483598739,0.05919537544250488,0.011850025956590578,True,gini,30,sqrt,1,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4959386170830312,0.514391429309879,0.5537140173689529,0.44465768152959384,0.5391867869868782,0.509577706455667,0.03807497318179451,141,0.942406074464763,0.9411272430839775,0.94009973225189,0.9331615090000002,0.9207321095776018,0.9355053336756465,0.00805079190480867
0,818,1.3484110355377197,0.06045865949568353,0.11435174942016602,0.008695881161967416,True,gini,30,sqrt,1,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4540335954626824,0.5279948197826299,0.5487102331887608,0.4397941573740178,0.5455335803534783,0.5032132772323139,0.0467241517232927,152,0.9413534566735697,0.9396963526702113,0.9370592570974458,0.9287050490245891,0.9206804178948066,0.9334989066721245,0.007746910525552111
0,818,0.6711960315704346,0.15484581986319076,0.0632286548614502,0.010035546659228635,True,gini,30,sqrt,3,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4945664735315535,0.49797600981792733,0.5304622740660604,0.43343634369351036,0.48824822717410266,0.4889378656566309,0.03136412062118896,193,0.8608094030171287,0.849638359946361,0.8483755162723472,0.845976744371667,0.8516982428995149,0.8512996533014038,0.005103685840134227
0,818,1.3017831802368165,0.026950509961547204,0.14175281524658204,0.008703834613450092,True,gini,30,sqrt,3,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4685628845904919,0.4964079740352393,0.5403226611211137,0.42840954558976907,0.5023092929558659,0.487202471658496,0.03725252800563149,198,0.8532892143395294,0.8493998649742126,0.8502663930772363,0.8471779102614595,0.8457660046120189,0.8491798774528914,0.002599152199028872
0,818,0.7087509155273437,0.06802047822022395,0.07665748596191406,0.00616134817371898,True,gini,30,sqrt,3,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.5025124780666044,0.504106230842661,0.5280821175465762,0.4300812600088656,0.5056083796597387,0.49407809322488927,0.033336221227842314,180,0.8016131681682038,0.7996556493970942,0.7980537546056755,0.7983687779244074,0.8014352671049569,0.7998253234400676,0.001488427198829683
0,818,1.2905736923217774,0.07223000836492792,0.10868959426879883,0.028440349349417113,True,gini,30,sqrt,3,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.5019144705411455,0.4994266674958385,0.5192138283524634,0.43510623193613923,0.5199669388388268,0.4951256274328827,0.0311905349363407,176,0.7988477571401904,0.8018897325815585,0.8043678817940516,0.8058647616968875,0.7928490144464121,0.80076382953182,0.004617185085852482
0,818,0.6752650260925293,0.030185129994531875,0.056180810928344725,0.009441557713402035,True,gini,30,log2,1,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4477567054254171,0.518974476839177,0.5187778224707504,0.4293267479767573,0.49979072475787906,0.4829252954939962,0.03736047080512003,212,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,1.3114254951477051,0.094874200699363,0.15990548133850097,0.032949763158303245,True,gini,30,log2,1,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4396998295205093,0.5153898323165378,0.5161612111619245,0.4404945592878886,0.5118988412380894,0.48472885470498994,0.03647076294472717,208,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,0.7122684478759765,0.06900839969481605,0.06728291511535645,0.005060689455797545,True,gini,30,log2,1,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.5159311189264275,0.5455004526652046,0.5463104085413614,0.44228372343403016,0.5243926810230551,0.5148836769180157,0.038176689110992736,135,0.9379474867357698,0.9466257038333034,0.9508235019687485,0.9316388921321855,0.9295685334111199,0.9393208236162254,0.00826653705035864
0,818,1.3917699337005616,0.14760111421514321,0.14596133232116698,0.006392518350285381,True,gini,30,log2,1,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4820232227953238,0.5583102959895636,0.5397265618557748,0.45822651418859534,0.5621002348042341,0.5200773659266984,0.042160206405428544,130,0.9331575520515137,0.9471897027549646,0.9479131285168934,0.9347176292369841,0.9249501245728069,0.9375856274266325,0.008790730790943509
0,818,0.7373161315917969,0.0736144371820631,0.0817638874053955,0.004688488695945683,True,gini,30,log2,3,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4726831129840622,0.5137291030595912,0.487844773783918,0.4225513169467256,0.4975312636160836,0.47886791407807616,0.03115772135567193,218,0.7206164001084185,0.729805858218735,0.7217666518622766,0.7168657978240829,0.7359682407787937,0.7250045897584615,0.006917141127642982
0,818,1.455583143234253,0.06945633977007204,0.1525710105895996,0.008458130595941712,True,gini,30,log2,3,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.5022745606928272,0.5161741649765993,0.5268408601197448,0.43496941374959003,0.5232337347511921,0.5006985468579906,0.0339221247889929,160,0.7229318092411068,0.7294796802152729,0.730788825814474,0.7194767693070467,0.7380761649751023,0.7281506499106005,0.0064763360877032414
0,818,0.759319543838501,0.04516069541361796,0.08308701515197754,0.002312115523502398,True,gini,30,log2,3,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.5091864503873678,0.5059422154414153,0.519110373823677,0.41750451881812395,0.5175617021175837,0.4938610521176335,0.03849777025734449,181,0.6998506655968152,0.7138101597198783,0.7030585727062768,0.6928271714494761,0.7056733339695033,0.7030439806883899,0.006890642565688338
0,818,1.230854368209839,0.05195260371845868,0.11415281295776367,0.010240771578345197,True,gini,30,log2,3,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4984273031727368,0.4930449731054283,0.5228399810917997,0.4156746890985434,0.5452098670745753,0.4950393627086167,0.04382729979940184,178,0.6990349785810405,0.7070390234013293,0.7030961316861275,0.7009885661540246,0.7114854083095077,0.704328821626406,0.004455637595499625
0,818,0.7389091968536377,0.07581488262985735,0.06817502975463867,0.012931600651919803,True,entropy,,sqrt,1,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.3936065041789378,0.4724678013386581,0.49617684093366304,0.41608411770989373,0.45429106479313947,0.4465252657908584,0.03721736295327965,248,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,1.3628457546234132,0.0758771041717085,0.12676482200622557,0.039300626504380196,True,entropy,,sqrt,1,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.41105464432132,0.48314369933163376,0.4719155185302262,0.4335029252753236,0.4371396110518701,0.44735127970207467,0.0264499526239986,247,1.0,1.0,1.0,1.0,1.0,1.0,0.0
