iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_pca__n_components,param_preprocessor__impute__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3273,1.7616250038146972,0.26439634086471825,0.05723471641540527,0.003986020685316748,0.1,,5,"{'classifier__C': 0.1, 'pca__n_components': None, 'preprocessor__impute__n_neighbors': 5}",0.5589823801895635,0.5607640213190779,0.5269182626337009,0.5126306454790476,0.5620330023876057,0.5442656624017992,0.020523949785537298,40,0.8606422813815304,0.853264343159008,0.8640499621758384,0.8718318029155805,0.8653192777839436,0.8630215334831803,0.006079831338193263
0,3273,1.8449194431304932,0.18484805706068957,0.05506606101989746,0.0029037754298174025,0.1,,10,"{'classifier__C': 0.1, 'pca__n_components': None, 'preprocessor__impute__n_neighbors': 10}",0.562632099084698,0.5634219189789738,0.5251207095339129,0.5199101054743092,0.5665975549291408,0.5475364776002069,0.02053890357142431,29,0.8617501159380863,0.8539999439506715,0.8626164358952355,0.8708455927916748,0.8645629501463005,0.8627550077443937,0.005411217494572001
0,3273,1.8993867874145507,0.11147367547923802,0.05204958915710449,0.004059462983735443,0.1,,15,"{'classifier__C': 0.1, 'pca__n_components': None, 'preprocessor__impute__n_neighbors': 15}",0.5583841395172623,0.5570340274765146,0.52712816567278,0.5210248583243304,0.5633258698583605,0.5453794121698495,0.0176254397199247,33,0.860921188276015,0.8534769145301797,0.8634022620345235,0.8701085438711282,0.8656120517693389,0.8627041920962372,0.005515235781496866
0,3273,3.606519603729248,0.1283707996104624,0.08821601867675781,0.004143076454599221,0.1,0.95,5,"{'classifier__C': 0.1, 'pca__n_components': 0.95, 'preprocessor__impute__n_neighbors': 5}",0.5591364032617855,0.5614952058718125,0.526695381535795,0.5126306454790476,0.5634945164526833,0.5446904305202247,0.02095868247605773,37,0.8613343639838331,0.8535857468634728,0.8640499621758384,0.8718318029155805,0.8653192777839436,0.8632242307445337,0.005926775195204151
0,3273,3.4878895759582518,0.0858332699217161,0.09068622589111328,0.00496072818895732,0.1,0.95,10,"{'classifier__C': 0.1, 'pca__n_components': 0.95, 'preprocessor__impute__n_neighbors': 10}",0.562632099084698,0.5617834700904027,0.5251207095339129,0.5199101054743092,0.5663176778638318,0.5471528124094309,0.020241221140576037,30,0.8620816127319142,0.853997416595481,0.862211340887257,0.8708455927916748,0.8645629501463005,0.8627397826305255,0.0054068382691058025
0,3273,3.4721049785614015,0.07997110012559731,0.09173955917358398,0.003470679542383684,0.1,0.95,15,"{'classifier__C': 0.1, 'pca__n_components': 0.95, 'preprocessor__impute__n_neighbors': 15}",0.5570406391262095,0.5563446923646495,0.52712816567278,0.5212024018951523,0.5633258698583605,0.5450083537834303,0.017293029406860276,34,0.8603994821554676,0.8526513722267934,0.8625922088842578,0.8704912347445583,0.8656120517693389,0.8623492699560831,0.0059134972382794805
0,3273,3.4505566596984862,0.12267736211642323,0.09642300605773926,0.005640155288446275,0.1,5,5,"{'classifier__C': 0.1, 'pca__n_components': 5, 'preprocessor__impute__n_neighbors': 5}",0.5591364032617855,0.5614952058718125,0.526695381535795,0.5126306454790476,0.5634945164526833,0.5446904305202247,0.02095868247605773,37,0.8613343639838331,0.8535857468634728,0.8640499621758384,0.8718318029155805,0.8653192777839436,0.8632242307445337,0.005926775195204151
0,3273,3.4693678855895995,0.10968429362125033,0.09592275619506836,0.005955973530531636,0.1,5,10,"{'classifier__C': 0.1, 'pca__n_components': 5, 'preprocessor__impute__n_neighbors': 10}",0.562632099084698,0.5617834700904027,0.5251207095339129,0.5199101054743092,0.5663176778638318,0.5471528124094309,0.020241221140576037,30,0.8620816127319142,0.853997416595481,0.862211340887257,0.8708455927916748,0.8645629501463005,0.8627397826305255,0.0054068382691058025
0,3273,3.503411817550659,0.08297908665267892,0.09228453636169434,0.005131437554396999,0.1,5,15,"{'classifier__C': 0.1, 'pca__n_components': 5, 'preprocessor__impute__n_neighbors': 15}",0.5570406391262095,0.5563446923646495,0.52712816567278,0.5212024018951523,0.5633258698583605,0.5450083537834303,0.017293029406860276,34,0.8603994821554676,0.8526513722267934,0.8625922088842578,0.8704912347445583,0.8656120517693389,0.8623492699560831,0.0059134972382794805
0,3273,3.4797937870025635,0.13473154949779578,0.09517350196838378,0.006088149211629618,0.1,10,5,"{'classifier__C': 0.1, 'pca__n_components': 10, 'preprocessor__impute__n_neighbors': 5}",0.5591364032617855,0.5614952058718125,0.526695381535795,0.5126306454790476,0.5634945164526833,0.5446904305202247,0.02095868247605773,37,0.8613343639838331,0.8535857468634728,0.8640499621758384,0.8718318029155805,0.8653192777839436,0.8632242307445337,0.005926775195204151
0,3273,3.451046848297119,0.11597878999112832,0.0902646541595459,0.004364618082077306,0.1,10,10,"{'classifier__C': 0.1, 'pca__n_components': 10, 'preprocessor__impute__n_neighbors': 10}",0.562632099084698,0.5617834700904027,0.5251207095339129,0.5199101054743092,0.5663176778638318,0.5471528124094309,0.020241221140576037,30,0.8620816127319142,0.853997416595481,0.862211340887257,0.8708455927916748,0.8645629501463005,0.8627397826305255,0.0054068382691058025
